path	size	disposition	reason
7z-empty-mhc-off.7z	78	TESTED_7Z_TIER2	opened by the 7z corpus with an explicit success or rejection contract
7z-hello-mhc-off-copy.7z	132	TESTED_7Z_TIER2	opened by the 7z corpus with an explicit success or rejection contract
7z-hello-mhc-off-lzma2.7z	138	TESTED_7Z_TIER2	opened by the 7z corpus with an explicit success or rejection contract
8.posix.tar.gz	8344644	TESTED_EXPANSION_TIER3	full multi-gibibyte or ZIP64-container expansion is reserved for Tier 3
8.star.tar.gz	8344540	TESTED_EXPANSION_TIER3	full multi-gibibyte or ZIP64-container expansion is reserved for Tier 3
android/ActivitySceneTransitionBasic/app/build/outputs/apk/debug/app-debug.apk	1546505	TESTED_ZIP_CONTAINER_TIER2	opened and fully consumed through the seekable ZIP API; APK signing blocks are not ZIP records
android/AlwaysOnKotlin/compose/build/outputs/apk/debug/compose-debug.apk	6082169	TESTED_ZIP_CONTAINER_TIER2	opened and fully consumed through the seekable ZIP API; APK signing blocks are not ZIP records
android/AlwaysOnKotlin/views/build/outputs/apk/debug/views-debug.apk	2439424	TESTED_ZIP_CONTAINER_TIER2	opened and fully consumed through the seekable ZIP API; APK signing blocks are not ZIP records
android/BasicTransition/Application/build/outputs/apk/debug/Application-debug.apk	1648995	TESTED_ZIP_CONTAINER_TIER2	opened and fully consumed through the seekable ZIP API; APK signing blocks are not ZIP records
android/Camera2Basic/Application/build/intermediates/instant-run-apk/debug/Application-debug.apk	45880	TESTED_ZIP_CONTAINER_TIER2	opened and fully consumed through the seekable ZIP API; APK signing blocks are not ZIP records
android/Camera2Basic/Application/build/intermediates/resources/instant-run/debug/resources-debug.apk	354355	TESTED_ZIP_CONTAINER_TIER2	opened and fully consumed through the seekable ZIP API; APK signing blocks are not ZIP records
android/Camera2Basic/Application/build/intermediates/split-apk/debug/dep/dependencies.apk	918973	TESTED_ZIP_CONTAINER_TIER2	opened and fully consumed through the seekable ZIP API; APK signing blocks are not ZIP records
android/Camera2Basic/Application/build/intermediates/split-apk/debug/slices/slice_0.apk	6356	TESTED_ZIP_CONTAINER_TIER2	opened and fully consumed through the seekable ZIP API; APK signing blocks are not ZIP records
android/Camera2Basic/Application/build/intermediates/split-apk/debug/slices/slice_1.apk	9435	TESTED_ZIP_CONTAINER_TIER2	opened and fully consumed through the seekable ZIP API; APK signing blocks are not ZIP records
android/Camera2Basic/Application/build/intermediates/split-apk/debug/slices/slice_2.apk	6367	TESTED_ZIP_CONTAINER_TIER2	opened and fully consumed through the seekable ZIP API; APK signing blocks are not ZIP records
android/Camera2Basic/Application/build/intermediates/split-apk/debug/slices/slice_3.apk	10222	TESTED_ZIP_CONTAINER_TIER2	opened and fully consumed through the seekable ZIP API; APK signing blocks are not ZIP records
android/Camera2Basic/Application/build/intermediates/split-apk/debug/slices/slice_4.apk	9422	TESTED_ZIP_CONTAINER_TIER2	opened and fully consumed through the seekable ZIP API; APK signing blocks are not ZIP records
android/Camera2Basic/Application/build/intermediates/split-apk/debug/slices/slice_5.apk	6368	TESTED_ZIP_CONTAINER_TIER2	opened and fully consumed through the seekable ZIP API; APK signing blocks are not ZIP records
android/Camera2Basic/Application/build/intermediates/split-apk/debug/slices/slice_6.apk	85660	TESTED_ZIP_CONTAINER_TIER2	opened and fully consumed through the seekable ZIP API; APK signing blocks are not ZIP records
android/Camera2Basic/Application/build/intermediates/split-apk/debug/slices/slice_7.apk	13294	TESTED_ZIP_CONTAINER_TIER2	opened and fully consumed through the seekable ZIP API; APK signing blocks are not ZIP records
android/Camera2Basic/Application/build/intermediates/split-apk/debug/slices/slice_8.apk	6354	TESTED_ZIP_CONTAINER_TIER2	opened and fully consumed through the seekable ZIP API; APK signing blocks are not ZIP records
android/Camera2Basic/Application/build/intermediates/split-apk/debug/slices/slice_9.apk	30541	TESTED_ZIP_CONTAINER_TIER2	opened and fully consumed through the seekable ZIP API; APK signing blocks are not ZIP records
